,zip,city,state,latitude,longitude,countyname,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12
2029,27560,Morrisville,NC,35.846363000000004,-78.83866,Wake County,313100,315500,317200,318100,319100,320500,321900,323300,324200,325500,327700,329500
2030,33135,Miami,FL,25.766576999999998,-80.23576,Miami-Dade County,332500,337900,342200,343800,344600,347300,352300,356300,358900,361300,363100,364500
2031,53066,Oconomowoc,WI,43.108241,-88.48935,Waukesha County,296900,299400,300800,301700,303900,305900,305900,305400,306500,308200,309700,311600
2032,92262,Palm Springs,CA,33.842984,-116.54343999999999,Riverside County,534200,535300,535600,537700,541500,546600,552000,557300,560700,561300,562800,566300
2033,90638,La Mirada,CA,33.90213,-118.00966000000001,Los Angeles County,575000,576500,576900,577700,579400,580300,580000,580000,580500,582400,584500,585600
2034,98502,Olympia,WA,47.071484000000005,-122.97702,Thurston County,327200,332600,336900,339800,342600,345400,347900,349600,351300,353900,357300,360000
2035,90241,Downey,CA,33.942289,-118.12901000000001,Los Angeles County,593300,600800,605800,606900,607400,608900,609700,609900,610700,612800,614500,616500
2036,77065,Houston,TX,29.927675,-95.60547,Harris County,182400,183500,184200,184900,185600,186200,186400,186700,187000,187400,188000,189100
2037,37214,Nashville,TN,36.166956,-86.66869,Davidson County,219500,222400,224900,227100,229000,230700,232800,235300,238200,241400,244200,246100
2038,27217,Burlington,NC,36.132737,-79.41135,Alamance County,90300,90300,90000,90200,90900,91400,91700,92800,94600,96200,97400,98200
2039,90008,Los Angeles,CA,34.009754,-118.33705,Los Angeles County,785800,795700,802300,804400,806300,808700,810300,814000,823900,838300,846800,846800
2040,52240,Iowa City,IA,41.649867,-91.52019,Johnson County,208700,210000,211100,212800,215100,216800,217400,217000,216900,217500,217900,217800
2041,83815,Coeur d'Alene,ID,47.718227,-116.78896999999999,Kootenai County,270800,275800,280700,285400,290000,293900,296900,299300,301600,304000,306500,309200
2042,77471,Rosenberg,TX,29.549455,-95.81900999999999,Fort Bend County,173000,174400,174700,174400,175200,176200,176300,176600,177100,177400,178500,180200
2043,2909,Providence,RI,41.8191,-71.44775,Providence County,161800,163000,164300,165800,167700,170300,172600,174000,175200,177000,179000,180300
2045,98107,Seattle,WA,47.66747,-122.37468,King County,827100,833700,833200,834200,841500,847300,844600,840100,837600,832400,823900,820900
2046,20016,Washington,DC,38.94081,-77.08723,District of Columbia,1183500,1190700,1195900,1196100,1197600,1205200,1215500,1220300,1220400,1223700,1225400,1224400
2047,58503,Bismarck,ND,46.861794,-100.78026,Burleigh County,340300,343800,346700,346800,346600,347600,348300,348200,346400,343500,340600,339500
2048,66212,Overland Park,KS,38.959606,-94.68189,Johnson County,214500,217400,219600,220300,220600,221200,221900,222400,223100,224200,225800,226900
2049,91401,Los Angeles,CA,34.176505,-118.43308,Los Angeles County,815200,822700,827600,830800,833000,833700,835500,838100,839100,839300,838300,836500
2050,92840,Garden Grove,CA,33.785166,-117.93406,Orange County,580700,584600,586600,588400,591800,596000,599700,603300,604500,604700,605700,607900
2051,60047,Lake Zurich,IL,42.199957,-88.05859,Lake County,419500,421300,421900,420400,417600,414000,411400,410500,411100,411900,411700,411600
2052,12020,Milton,NY,43.006309,-73.8604,Saratoga County,252900,253500,253600,253800,254500,254900,255300,255500,255300,254300,253500,253400
2053,94523,Pleasant Hill,CA,37.951671999999995,-122.07316999999999,Contra Costa County,766500,775200,784400,789700,793200,796400,798700,798100,798200,798700,796500,793200
2054,93940,Monterey,CA,36.586193,-121.88667,Monterey County,776000,781300,786900,791800,797200,804300,809800,810300,809200,810500,813600,816800
